"filename", "language", "C", "Makefile", "C++", "JSON", "Assembly", "Markdown", "YAML", "Shell Script", "pip requirements", "Python", "Log", "comment", "blank", "total"
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\Makefile", "Makefile", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 10
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\CMakeFiles\3.16.4\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 496, 0, 0, 0, 0, 0, 0, 0, 0, 52, 113, 661
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\CMakeFiles\3.16.4\CompilerIdC\CMakeCCompilerId.c", "C", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 115, 672
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 351, 0, 144, 495
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\CMakeFiles\bootloader.dir\Labels.json", "JSON", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\bootloader\CMakeFiles\3.16.4\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 496, 0, 0, 0, 0, 0, 0, 0, 0, 52, 113, 661
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\bootloader\CMakeFiles\3.16.4\CompilerIdC\CMakeCCompilerId.c", "C", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 115, 672
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\bootloader\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 351, 0, 144, 495
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\bootloader\compile_commands.json", "JSON", 0, 0, 0, 457, 0, 0, 0, 0, 0, 0, 0, 0, 90, 547
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\bootloader\config\kconfig_menus.json", "JSON", 0, 0, 0, 3852, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3852
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\bootloader\config\sdkconfig.h", "C++", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 137
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\bootloader\config\sdkconfig.json", "JSON", 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 206
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\bootloader\project_description.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\bootloader\project_elf_src.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\compile_commands.json", "JSON", 0, 0, 0, 5962, 0, 0, 0, 0, 0, 0, 0, 0, 1191, 7153
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\config\kconfig_menus.json", "JSON", 0, 0, 0, 15908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15908
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\config\sdkconfig.h", "C++", 0, 0, 539, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 546
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\config\sdkconfig.json", "JSON", 0, 0, 0, 857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 857
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\flasher_args.json", "JSON", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\project_description.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\build\project_elf_src.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\.gitlab-ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 14, 15, 99
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\README.md", "Markdown", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 29, 72
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\build_examples.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 9, 11, 53
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\component.mk", "Makefile", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 88
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\docs\Makefile", "Makefile", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\docs\check_doc_warnings.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 10, 9, 47
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\docs\conf.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 10, 4, 20
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\docs\conf_common.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 182, 82, 318
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\docs\docs_common.mk", "Makefile", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 31, 215
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\docs\gen-dxd.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 109, 50, 319
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\docs\issue_template.md", "Markdown", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 28, 81
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\docs\link-roles.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 2, 9, 47
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\docs\local_util.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 15, 11, 58
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\docs\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 1, 9
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\README.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\basic_math\Makefile", "Makefile", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 17
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\basic_math\README.md", "Markdown", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 19, 84
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\basic_math\main\component.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\basic_math\main\dsps_math_main.c", "C", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 13, 93
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\dotprod\Makefile", "Makefile", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 17
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\dotprod\README.md", "Markdown", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 19, 51
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\dotprod\main\component.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\dotprod\main\dsps_dotproduct_main.c", "C", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 64
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft4real\Makefile", "Makefile", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 17
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft4real\README.md", "Markdown", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 19, 100
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft4real\main\component.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft4real\main\dsps_fft4real_main.c", "C", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 16, 115
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft\Makefile", "Makefile", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 17
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft\README.md", "Markdown", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 19, 100
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft\main\component.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft\main\dsps_fft_main.c", "C", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 14, 102
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft_window\Makefile", "Makefile", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 17
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft_window\README.md", "Markdown", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 19, 143
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft_window\main\component.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\fft_window\main\dsps_window_main.c", "C", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 19, 142
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\components\esp-dsp\examples\iir\Makefile", "Makefile", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 17
