"filename", "language", "C", "Markdown", "Makefile", "C++", "JSON", "Log", "comment", "blank", "total"
"d:\ISEL\PFC\SoniqOculos\Project\Makefile", "Makefile", 0, 0, 2, 0, 0, 0, 4, 4, 10
"d:\ISEL\PFC\SoniqOculos\Project\README.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 29, 77
"d:\ISEL\PFC\SoniqOculos\Project\build\CMakeFiles\3.16.4\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 496, 0, 0, 52, 113, 661
"d:\ISEL\PFC\SoniqOculos\Project\build\CMakeFiles\3.16.4\CompilerIdC\CMakeCCompilerId.c", "C", 507, 0, 0, 0, 0, 0, 50, 115, 672
"d:\ISEL\PFC\SoniqOculos\Project\build\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 351, 0, 144, 495
"d:\ISEL\PFC\SoniqOculos\Project\build\CMakeFiles\bootloader.dir\Labels.json", "JSON", 0, 0, 0, 0, 43, 0, 0, 0, 43
"d:\ISEL\PFC\SoniqOculos\Project\build\bootloader\CMakeFiles\3.16.4\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 496, 0, 0, 52, 113, 661
"d:\ISEL\PFC\SoniqOculos\Project\build\bootloader\CMakeFiles\3.16.4\CompilerIdC\CMakeCCompilerId.c", "C", 507, 0, 0, 0, 0, 0, 50, 115, 672
"d:\ISEL\PFC\SoniqOculos\Project\build\bootloader\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 351, 0, 144, 495
"d:\ISEL\PFC\SoniqOculos\Project\build\bootloader\compile_commands.json", "JSON", 0, 0, 0, 0, 452, 0, 0, 89, 541
"d:\ISEL\PFC\SoniqOculos\Project\build\bootloader\config\kconfig_menus.json", "JSON", 0, 0, 0, 0, 3812, 0, 0, 0, 3812
"d:\ISEL\PFC\SoniqOculos\Project\build\bootloader\config\sdkconfig.h", "C++", 0, 0, 0, 129, 0, 0, 5, 2, 136
"d:\ISEL\PFC\SoniqOculos\Project\build\bootloader\config\sdkconfig.json", "JSON", 0, 0, 0, 0, 204, 0, 0, 0, 204
"d:\ISEL\PFC\SoniqOculos\Project\build\bootloader\project_description.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 1, 21
"d:\ISEL\PFC\SoniqOculos\Project\build\bootloader\project_elf_src.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ISEL\PFC\SoniqOculos\Project\build\compile_commands.json", "JSON", 0, 0, 0, 0, 5572, 0, 0, 1113, 6685
"d:\ISEL\PFC\SoniqOculos\Project\build\config\kconfig_menus.json", "JSON", 0, 0, 0, 0, 15543, 0, 0, 0, 15543
"d:\ISEL\PFC\SoniqOculos\Project\build\config\sdkconfig.h", "C++", 0, 0, 0, 533, 0, 0, 5, 2, 540
"d:\ISEL\PFC\SoniqOculos\Project\build\config\sdkconfig.json", "JSON", 0, 0, 0, 0, 841, 0, 0, 0, 841
"d:\ISEL\PFC\SoniqOculos\Project\build\flasher_args.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 1, 25
"d:\ISEL\PFC\SoniqOculos\Project\build\project_description.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 1, 21
"d:\ISEL\PFC\SoniqOculos\Project\build\project_elf_src.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ISEL\PFC\SoniqOculos\Project\main\bt.c", "C", 174, 0, 0, 0, 0, 0, 22, 25, 221
"d:\ISEL\PFC\SoniqOculos\Project\main\bt.h", "C++", 0, 0, 0, 12, 0, 0, 2, 7, 21
"d:\ISEL\PFC\SoniqOculos\Project\main\bt_app_av.c", "C", 347, 0, 0, 0, 0, 0, 20, 28, 395
"d:\ISEL\PFC\SoniqOculos\Project\main\bt_app_av.h", "C++", 0, 0, 0, 11, 0, 0, 19, 9, 39
"d:\ISEL\PFC\SoniqOculos\Project\main\bt_app_core.c", "C", 147, 0, 0, 0, 0, 0, 10, 23, 180
"d:\ISEL\PFC\SoniqOculos\Project\main\bt_app_core.h", "C++", 0, 0, 0, 21, 0, 0, 17, 15, 53
"d:\ISEL\PFC\SoniqOculos\Project\main\component.mk", "Makefile", 0, 0, 0, 0, 0, 0, 4, 2, 6
"d:\ISEL\PFC\SoniqOculos\Project\main\gpio.c", "C", 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\ISEL\PFC\SoniqOculos\Project\main\gpio.h", "C++", 0, 0, 0, 2, 0, 0, 0, 2, 4
"d:\ISEL\PFC\SoniqOculos\Project\main\i2s.c", "C", 100, 0, 0, 0, 0, 0, 7, 23, 130
"d:\ISEL\PFC\SoniqOculos\Project\main\i2s.h", "C++", 0, 0, 0, 19, 0, 0, 0, 7, 26
"d:\ISEL\PFC\SoniqOculos\Project\main\main.c", "C", 43, 0, 0, 0, 0, 0, 2, 13, 58
"d:\ISEL\PFC\SoniqOculos\Project\main\main.h", "C++", 0, 0, 0, 37, 0, 0, 1, 16, 54
"d:\ISEL\PFC\SoniqOculos\Project\main\sd.c", "C", 90, 0, 0, 0, 0, 0, 52, 19, 161
"d:\ISEL\PFC\SoniqOculos\Project\main\sd.h", "C++", 0, 0, 0, 11, 0, 0, 0, 6, 17
"Total", "-", 1922, 48, 2, 1767, 26531, 702, 374, 2185, 33531
